HINT_TECH_VIEW_TEXT_2;All Rulers above the rank of Lord accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.;;;;;;;;;;;;x
#TECH_TEMPLE_CONSTRUCTION_DESC;Improved buildings and structures for temple and church holdings.;;;;;;;;;;;;;x
TECH_FORTIFICATIONS_CONSTRUCTION;Military Fortifications;;;;;;;;;;;;;x
TECH_FORTIFICATIONS_CONSTRUCTION_DESC;Improved keeps, walls and fortifications.;;;;;;;;;;;;;x
TECH_CONSTRUCTION;Construction;;;;;;;;;;;;;x
TECH_CONSTRUCTION_DESC;Improved architectural solutions and building techniques.;;;;;;;;;;;;;x
TECH_NOBLE_CUSTOMS;Feudal Customs;;;;;;;;;;;;;x
TECH_NOBLE_CUSTOMS_DESC;Improved relations with vassal feudal lords.;;;;;;;;;;;;;x
TECH_POPULAR_CUSTOMS;Civil Customs;;;;;;;;;;;;;x
TECH_POPULAR_CUSTOMS_DESC;Improved relations with vassal town burghers.;;;;;;;;;;;;;x
TECH_RELIGIOUS_CUSTOMS;Religious Customs;;;;;;;;;;;;;x
TECH_RELIGIOUS_CUSTOMS_DESC;Improved relations with vassal priests.;;;;;;;;;;;;;x
TECH_MAJESTY;Realm Majesty;;;;;;;;;;;;;x
TECH_MAJESTY_DESC;Our dynasty grows ever more prestigious.;;;;;;;;;;;;;x
TECH_SPIRITUAL_ART;Spiritual Art;;;;;;;;;;;;;x
TECH_SPIRITUAL_ART_DESC;Encourage spiritual art to glorify the Gods.;;;;;;;;;;;;;x
TECH_CULTURE_FLEX;Cultural Liberalism;;;;;;;;;;;;;x
TECH_CULTURE_FLEX_DESC;Acceptance of those of a different culture.;;;;;;;;;;;;;x
TECH_RELIGION_FLEX;Religious Indulgence;;;;;;;;;;;;;x
TECH_RELIGION_FLEX_DESC;Acceptance of those of a different faith.;;;;;;;;;;;;;x
TECH_LEGALISM;Legalism;;;;;;;;;;;;;x
TECH_LEGALISM_DESC;With clearly codified laws people are more likely to accept new rulers as rightful.;;;;;;;;;;;;;x
#TECH_LIGHT_INFANTRY;Light Infantry;;;;;;;;;;;;;x
#TECH_LIGHT_INFANTRY_DESC;Better arms and armor for militians and archers.;;;;;;;;;;;;;x
#TECH_HEAVY_INFANTRY;Heavy Infantry;;;;;;;;;;;;;x
#TECH_HEAVY_INFANTRY_DESC;Better arms and armor for warriors and spearmen.;;;;;;;;;;;;;x
TECH_INFANTRY;Infantry;;;;;;;;;;;;;x
TECH_INFANTRY_DESC;Better arms and armor for infantry.;;;;;;;;;;;;;x
TECH_CAVALRY;Cavalry;;;;;;;;;;;;;x
TECH_CAVALRY_DESC;Better arms and armor for horsemen and cavalry.;;;;;;;;;;;;;x
TECH_NAVAL;Shipbuilding;;;;;;;;;;;;;x
TECH_NAVAL_DESC;Better shipbuilding techiques.;;;;;;;;;;;;;x
TECH_TRADE_PRACTICES;Trade Practices;;;;;;;;;;;;;x
TECH_TRADE_PRACTICES_DESC;Better trading customs and practices.;;;;;;;;;;;;;x
TECH_CULTURE_FLEX_DESC;Acceptance of others make it easier to rule over different cultures and religions.;;;;;;;;;;;;;x
TECH_INVEST;Invest in §Y$TECHNAME$§!\nCost: $COST$/§Y$MAX$§!;;;;;;;;;;;;;x
TECH_INVEST_DESC;By spending §Y$POINTS$§! $POINTTYPE$ you can increase this technology to level §Y$NEXTLEVEL$§!;;;;;;;;;;;;;x
POINTTYPE_MIL;Military Technology Points;;;;;;;;;;;;;x
POINTTYPE_ECO;Economic Technology Points;;;;;;;;;;;;;x
POINTTYPE_CUL;Cultural Technology Points;;;;;;;;;;;;;x
TECH_FROM_ATTRIBUTES;§Y$GROWTH$§! / Month From Ruler Attributes;;;;;;;;;;;;;x
TECH_DESC_CAPITAL;Advancements in your Capital Province of $PROV$;;;;;;;;;;;;;x
SPREAD_FROM_TRADE;Trade Post Bonus;;;;;;;;;;;;;x
MODIFIER_TECH_GROWTH_MODIFIER;Technology Spread Rate;;;;;;;;;;;;;x
MODIFIER_TECH_GROWTH_MILITARY;Military Technology Spread Rate;;;;;;;;;;;;;x
MODIFIER_TECH_GROWTH_ECONOMY;Economy Technology Spread Rate;;;;;;;;;;;;;x
MODIFIER_TECH_GROWTH_CULTURE;Culture Technology Spread Rate;;;;;;;;;;;;;x
SPREAD_FROM_SPYACTION;Spymaster Studies and Research;;;;;;;;;;;;;x
TECH_MAPMODE_BUTTON_IRO;Map Mode: Relative Spread;;;;;;;;;;;;;x
TECH_MAPMODE_BUTTON_DRO;Dark blue is the lowest and white is the highest level of advancement currently in the world.;;;;;;;;;;;;;x
TECH_MARTIAL_VALUE;Base Military Technology Point Growth;;;;;;;;;;;;;x
TECH_STEWARDSHIP_VALUE;Base Economic Technology Point Growth;;;;;;;;;;;;;x
TECH_DIPLOMACY_VALUE;Base Cultural Technology Point Growth;;;;;;;;;;;;;x
TECH_POINTS_PER_MONTH; Points / Month;;;;;;;;;;;;;x
TECHPOINT_EFFECT;$DIRECTION$ $VALUE$ $TYPE$.\n;;;;;;;;;;;;;x
TECH_POINTS_PER_ATTRIBUTE;Tech Points per Attribute Point;;;;;;;;;;;;;x
PARTIALLY_FILLED;Partially Filled;;;;;;;;;;;;;x
COUNT_TECH_POINTS;Rulers of lower rank do not generate cultural advancement.;;;;;;;;;;;;;x
alert_can_tech_instant;§YYou should Invest in a Technological Advance§!;;;;;;;;;;;;;x
alert_can_tech_delayed;You have enough Technology Points in a Technology Group to invest in any of its advances.;;;;;;;;;;;;;x
TECH_REMOVE_PAGAN_HOME_ATTRITION;Removes the Pagan Homeland Attrition Penalty.;;;;;;;;;;;;;x
TRADE_TECH_TOO_LOW;Current knowledge of Trade Practices is too low to build Trade Posts.;;;;;;;;;;;;;x
TRADE_TECH_ALLOW_TRADEPOSTS;Allows the construction of Trade Posts.;;;;;;;;;;;;;x
TRADE_TECH_TRADEPOST_INC;Max Trade Posts: §G+$INC$%§!;;;;;;;;;;;;;x
