#CODE;;;;;;;;;;;;;;x
LOADING_TIP_1;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_2;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_3;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_4;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_5;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_6;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_7;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_8;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_9;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_10;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_11;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_12;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_13;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_14;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_15;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_16;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_17;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_18;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_19;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_20;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_21;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_22;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_23;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_24;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_25;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_26;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_27;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_28;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_29;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_30;“...for these are the tales of the last days before the great darkness descended.”;;;;;;;;;;;;;;x
LOADING_TIP_31;“...for these are the tales of the last days before the great darkness descended.”;;;;;;;;;;;;;;x
LOADING_TIP_32;“...for these are the tales of the last days before the great darkness descended.”;;;;;;;;;;;;;;x
LOADING_TIP_33;“...for these are the tales of the last days before the great darkness descended.”;;;;;;;;;;;;;;x
LOADING_TIP_34;“...for these are the tales of the last days before the great darkness descended.";;;;;;;;;;;;;;x
LOADING_TIP_35;“...for these are the tales of the last days before the great darkness descended.";;;;;;;;;;;;;;x
LOADING_TIP_36;“...for these are the tales of the last days before the great darkness descended.";;;;;;;;;;;;;;x
LOADING_TIP_37;“...for these are the tales of the last days before the great darkness descended.";;;;;;;;;;;;;;x
LOADING_TIP_38;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_39;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_40;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_41;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_42;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_43;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_44;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_45;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_46;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_47;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_48;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_49;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_50;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_51;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
LOADING_TIP_52;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_53;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
LOADING_TIP_54;“The horn sounded a third time, and suddenly I knew I would live. For Arthur, at last, had come.”;;;;;;;;;;;;;;x
