#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
WtWSMS_flavour.23.desc;You enter the cave where the ritual is set to begin, huddling amongst the other hooded figures, some of whom you recognise. The priestess proclaims loudly, "In honor of Great Aker, we offer Him a sacrifice!". A black goat is led to the altar, while the onlookers chant with fervour, getting louder as the goat arrives at its final destination. Finally, another priestess unsheathes a knife and swiftly slits its throat, splattering some of its blood on you. You get a feeling of uneasiness about the whole event, and the ceremony continues throughout the night...;;Vous entrez dans la grotte où le rituel doit commencer, vous blottissant parmi les autres figures cagoulées, dont vous reconnaissez certaines. La prêtresse proclame à haute voix: «En l'honneur du grand Aker, nous lui offrons un sacrifice!». Un bouc noir est dirigé vers l'autel, tandis que les spectateurs chantent avec ferveur, devenant plus fort alors que le bouc arrive à sa destination finale. Enfin, une autre prêtresse déverse un couteau et lui fente rapidement la gorge. Une partie de son sang se répand sur vous. Vous avez un sentiment de malaise à propos de tout l'événement, et la cérémonie se poursuit tout au long de la nuit ...;;;;;;;;;x
WtWSMS_flavour.23.a;Ew...;;;;;;;;;;;x
WtWSMS_flavour.24.desc;The Akelarre has ended. Despite your initial fears, the ritual has strengthened your faith, and formed a special bond between you and your vassals. The dancing and chanting was quite the magnificent sight, and the potion...;L'Akelarre s'est terminé. Malgré vos peurs initiales, le rituel a renforcé votre foi et a formé un lien spécial entre vous et vos vassaux. La danse et le chant étaient tout à fait un spectable magnifique, et la potion ...;;;;;;;;;;x
WtWSMS_flavour.24.a;That was the good stuff...;C'était la bonne chose ...;;;;;;;;;;x
WtWSMS_flavour.25.desc;The Akelarre has ended. Despite being a little queasy at first, your faith has grown stronger from this ordeal, and so has your bond with your liege and fellow vassals. The ceremony was surreal and you hope to be able to attend next year.;L'Akelarre s'est terminé. En dépit de l'embarras initial, votre foi s'est renforcée avec cette épreuve, de même pour votre lien avec votre suzerain et vos vassaux. La cérémonie était surréaliste et vous espérez y assister l'année prochaine.;;;;;;;;;;x
WtWSMS_flavour.25.a;I thank my great liege for the invitation!;Je remercie mon grand suzerain pour l'invitation!;;;;;;;;;;x
WtWSMS_flavour.26.desc;Traditionally, black goats are considered holier than ordinary ones, and thus will make for a better sacrifice. After all, the goddess Mari often appears in the form of Akerbeltz, the black he-goat. However, they are also more expensive than goats of other colors. What kind of goats will you buy?;;;;;;;;;;x
WtWSMS_flavour.26.a;I will sacrifice nothing less than black goats.;;;;;;;;;;x
WtWSMS_flavour.26.b;Normals goats are good enough.;;;;;;;;;;x
WtWSMS_flavour.261.desc;As the sorgin sharpens her sacrificial knife, the goats you purchased are led to the stone altar. One by one, she holds them steadily with one arm and cuts their throats with the other. Once all the goats are dead, the priestess cleans her knife and informs you that the gods will appreciate your worthy sacrifice.;;;;;;;;;;x
WtWSMS_flavour.261.opta;Praise be to the gods!;;;;;;;;;;x
WtWSMS_flavour.27.desc;We cannot simply dedicate something as great as a megalith to just anything. While megaliths can have many purposes and artistic designs, three main options present themselves for you to choose, according to your council.;Lors de votre commission pour l'érection d'un megalith, il vient la nécessité d'en choisir un motif. Alors que les mégalithes peuvent avoir de nombreuses fins et conceptions artistiques, trois options principales se présentent pour leur érection, selon votre conseil.;;;;;;;;;;x
WtWSMS_flavour.27.a;Dedicate it to the Vasconic faith!;Dédiez-le à la foi vasconique!;;;;;;;;;;x
WtWSMS_flavour.27.a.tooltip;The megalith will portray matters of religion, a pious choice.;Le mégalithe représentera des questions de religion, un choix pieux.;;;;;;;;;;x
WtWSMS_flavour.27.b;Make it into a mark of my rule!;Faites-en une marque de mon règne!;;;;;;;;;;x
WtWSMS_flavour.27.b.tooltip;The megalith will portray matters of rulership, attesting to your reign.;Le mégalithe représentera des questions de souverraineté, cimentant votre règne.;;;;;;;;;;x
WtWSMS_flavour.27.c;Let it tell the story of our great victories!;Laissez-le raconter l'histoire de nos gloires militaires!;;;;;;;;;;x
WtWSMS_flavour.27.c.tooltip;The megalith will portray matters of war and conquest, a glorious choice.;Le mégalithe représentera des choses de guerre et de conquête, un choix glorieux.;;;;;;;;;;x
WtWSMS_flavour.28.desc;The megalith you commissioned has been finished and raised on the spot you chose for it. Its religious motifs and drawings speak of the glory of the Vasconic gods and will be another step towards affirming religion as a central part of the realm.;Le megalithe que vous avez commandé a été fini et élevé là où vous l'avez choisi. Son motif religieux traite du panthéon vasconique des dieux et sera une autre étape vers l'affirmation de la religion comme une partie centrale du royaume.;;;;;;;;;;x
WtWSMS_flavour.28.a;Praise [Root.Religion.GetRandomGodName]!;Prions [Root.GetRandomGodName]!;;;;;;;;;;x
WtWSMS_flavour.29.desc;The megalith you commissioned has been finished and raised on the spot you chose for it. It speaks of your prosperous, enlightened, and just rule, to be told to future generations and be regarded with respect for your legacy as one of the significant marks left upon the realm.;Le megalithe que vous avez commandé a été fini et élevé là où vous l'avez choisi. Son motif est de montrer votre règne éclairé et juste, qui sera maintenant raconté aux générations futures et sera considéré avec respect pour votre héritage comme l'une des marques importantes laissées sur le royaume.;;;;;;;;;;x
WtWSMS_flavour.29.a;It's perfect!;C'est parfait!;;;;;;;;;;x
WtWSMS_flavour.30.desc;The megalith you commissioned has been finished and raised on the spot you chose for it. Raised in honour of your glorious victories and those of your commanders on the battlefield, both past and future, its erection is symbolic of the glorious destiny of the realm.;Le megalithe que vous avez commandé a été fini et élevé là où vous l'avez choisi. Son motif militaire glorifie vos réalisations et celles de vos commandants sur le champ de bataille, passé et futur. Cette érection est symbolique de la destinée glorieuse du royaume.;;;;;;;;;;x
WtWSMS_flavour.30.a;Future generations will gaze upon it!;Les générations futures le regarderont!;;;;;;;;;;x
