#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TRADEFAMILY_SIZE_DESC;The number of Trade Posts owned by the §Y$FAMILY$§! family;;;;;;;;;;;;;;x
TRADEPOST_UNDER_CONSTRUCTION;Trade Post under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!;;;;;;;;;;;;;;x
MODIFIER_TRADEVALUE;Trade Value;;;;;;;;;;;;;;x
MODIFIER_RETINUESIZE;Retinue Size;;;;;;;;;;;;;;x
CAMPAIGN_FUND;Civil Fund;;;;;;;;;;;;;;x
CAMPAIGN_FUND_DESC;Money in the Civil Fund will increase your Respect in the senate and make your candidate more likely to be elected the next $RULER_TITLE$. You can freely adjust the amount until the current $RULER_TITLE$ dies, when the Fund will be used up in the election campaign.;;;;;;;;;;;;;;x
EXPECTED_SUCCESSOR;Expected Successor;;;;;;;;;;;;;;x
EXPECTED_SUCCESSOR_DESC;§Y$HEIR$§! is widely expected to succeed §Y$RULER$§!. However, there is always a degree of uncertainty in the elections - to make sure of success, you might want to invest more money than the strict minimum in your civil fund.;;;;;;;;;;;;;;x
THE_REPUBLIC;The Republic;;;;;;;;;;;;;;x
PATRICIAN_DYNASTY_FALLS_SETUP;Republican Family Falls;;;;;;;;;;;;;;x
PATRICIAN_DYNASTY_FALLS_LOG;With the death of §Y$PATRICIAN$§!, the illustrious republican House §Y$DYNASTY$§! has become extinct.;;;;;;;;;;;;;;x
PATRICIAN_DYNASTY_RISES_SETUP;Republican Family Rises;;;;;;;;;;;;;;x
PATRICIAN_DYNASTY_RISES_LOG;A great and powerful merchant family has risen to the forefront of $TITLE_ADJ$ politics, under §Y$PATRICIAN$§!.;;;;;;;;;;;;;;x
NEW_DOGE_ELECTED_SETUP;Republic Election;;;;;;;;;;;;;;x
NEW_DOGE_ELECTED_LOG;§Y$NEW_DOGE$§! has been elected $RULER_TITLE$ of the civil Republic of §Y$TITLE$§!.;;;;;;;;;;;;;;x
CB_NAME_EMBARGO;Embargo;;;;;;;;;;;;;;x
WAR_NAME_EMBARGO;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Embargo War;;;;;;;;;;;;;;x
CB_NAME_COASTAL_REPUBLIC;Seize the Town of [Title.GetBaseName];;;;;;;;;;;;;;x
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Town of $OTHER_TITLE$;;;;;;;;;;;;;;x
CB_NAME_COASTAL_COUNTY_REPUBLIC;Seize [Title.GetBaseName];;;;;;;;;;;;;;x
WAR_NAME_COASTAL_COUNTY_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;;;;;;;;;;;;;;x
